epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81534,0,30.9298,0,0,0,0,0,1.99541,4.11751,1.80188,0.0946,0.0006,0.0006
2,15.2272,0,1.82825,0,0,0,0,0,1.17595,5.03977,1.23729,0.0882743,0.00127426,0.00127426
3,22.5128,0,0.21557,0,0,0,0,0,1.4628,5.75217,1.52677,0.0819208,0.0019208,0.0019208
4,29.7043,0,0.04365,0,0,0,0,0,1.95244,6.1835,1.65871,0.0755396,0.00253962,0.00253962
5,37.0108,0,0.01984,0,0,0,0,0,2.23775,6.38231,1.88873,0.0691307,0.00313072,0.00313072
6,44.3445,0,0.0138,0,0,0,0,0,1.98322,6.53228,1.68189,0.0626941,0.0036941,0.0036941
7,51.5731,0,0.00756,0,0,0,0,0,1.69717,6.59884,1.5112,0.0562298,0.00422976,0.00422976
8,58.7029,0,0.00449,0,0,0,0,0,1.38228,6.71615,1.34345,0.0497377,0.0047377,0.0047377
9,65.8077,0,0.00342,0,0,0,0,0,1.29282,6.76023,1.26376,0.0432179,0.00521792,0.00521792
10,72.9467,0,0.003,0,0,0,0,0,1.28373,6.79537,1.2598,0.0366704,0.00567042,0.00567042
11,80.2079,0,0.00281,0,0,0,0,0,1.46438,6.85645,1.35506,0.0300952,0.0060952,0.0060952
12,87.4756,0,0.00266,0,0,0,0,0,1.60989,6.9123,1.45676,0.0234923,0.00649226,0.00649226
13,94.5613,0,0.00257,0,0,0,0,0,2.80604,6.93653,2.17804,0.0168616,0.0068616,0.0068616
14,101.657,0,0.00247,0,0,0,0,0,2.80604,6.93653,2.17804,0.0102032,0.00720322,0.00720322
15,108.839,0,0.00239,0,0,0,0,0,3.14244,7.02208,2.5251,0.007228,0.007228,0.007228
16,115.945,0,0.0023,0,0,0,0,0,3.11992,7.07251,2.5349,0.00703,0.00703,0.00703
